date,goals
2/23/2000,0
5/27/2000,1
5/31/2000,2
6/17/2000,1
6/20/2000,2
10/7/2000,0
2/28/2001,3
3/24/2001,2
5/25/2001,4
8/15/2001,0
9/5/2001,2
10/6/2001,2
11/10/2001,1
3/27/2002,1
4/17/2002,4
6/2/2002,1
6/21/2002,1
9/7/2002,1
10/16/2002,2
2/12/2003,1
4/2/2003,2
6/3/2003,2
6/11/2003,2
8/20/2003,3
9/10/2003,2
11/16/2003,2
6/1/2004,1
6/5/2004,6
6/17/2004,3
8/18/2004,3
10/9/2004,2
2/9/2005,0
3/26/2005,4
3/30/2005,2
10/8/2005,1
10/12/2005,2
11/12/2005,3
3/1/2006,2
5/30/2006,3
6/3/2006,6
6/10/2006,1
6/15/2006,2
6/25/2006,1
7/1/2006,0
8/16/2006,4
9/2/2006,5
10/7/2006,0
2/7/2007,0
6/1/2007,1
8/22/2007,1
9/8/2007,3
9/12/2007,3
10/13/2007,3
11/21/2007,2
2/6/2008,2
5/28/2008,2
8/20/2008,2
10/11/2008,5
3/28/2009,4
4/1/2009,2
6/10/2009,6
9/5/2009,2
9/9/2009,5
10/14/2009,3
3/3/2010,3
5/24/2010,3
6/12/2010,1
6/18/2010,0
8/11/2010,2
9/3/2010,4
10/12/2010,0
11/17/2010,1
3/29/2011,1
6/4/2011,2
9/6/2011,1
11/12/2011,1
11/15/2011,1
2/29/2012,2
6/2/2012,1
6/24/2012,0
8/15/2012,2
9/11/2012,1
10/12/2012,5
2/6/2013,2
5/29/2013,1
8/14/2013,3
9/6/2013,4
10/11/2013,4
10/15/2013,2
11/15/2013,0
11/19/2013,0
3/5/2014,1
5/30/2014,3
6/14/2014,1
9/3/2014,1
10/9/2014,5
11/15/2014,3
3/27/2015,4
9/8/2015,2
10/9/2015,2
11/17/2015,2
3/29/2016,1
5/22/2016,2
5/27/2016,2
6/2/2016,1
6/11/2016,1
6/16/2016,2
6/27/2016,1
10/8/2016,2
11/11/2016,3
11/15/2016,2
3/26/2017,2
9/4/2017,2
10/5/2017,1
11/10/2017,0
11/14/2017,0
3/27/2018,1
6/2/2018,2
6/7/2018,2
6/24/2018,6
6/28/2018,0
9/8/2018,1
9/11/2018,1
11/15/2018,3
11/18/2018,2
3/22/2019,5
6/6/2019,1
9/7/2019,4
9/10/2019,5
11/14/2019,7
